# 时间 t = 0.002019 s
# 列: x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_H, Y_O, Y_O2, Y_OH
15.430862, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
15.631263, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
15.831663, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
16.032064, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
16.232465, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
16.432866, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
16.633267, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
16.833667, 1.274208e+01, -3.715624e-15, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
17.034068, 1.274208e+01, -1.487764e-13, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
17.234469, 1.274208e+01, -1.194529e-12, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
17.434870, 1.274208e+01, -9.405201e-12, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
17.635271, 1.274208e+01, -7.324654e-11, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
17.835671, 1.274208e+01, -5.498528e-10, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
18.036072, 1.274208e+01, -3.915384e-09, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
18.236473, 1.274208e+01, -2.639654e-08, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
18.436874, 1.274208e+01, -1.682975e-07, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
18.637275, 1.274208e+01, -1.013540e-06, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
18.837675, 1.274208e+01, -5.757575e-06, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578767e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
19.038076, 1.274208e+01, -3.080478e-05, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.578766e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
19.238477, 1.274209e+01, -1.549740e-04, 3.039751e+06, 6.000000e+02, 2.852239e-02, 9.578764e-22, 2.662151e-22, 2.263540e-01, 1.911030e-23
19.438878, 1.274210e+01, -7.317750e-04, 3.039754e+06, 6.000000e+02, 2.852239e-02, 9.578754e-22, 2.662148e-22, 2.263540e-01, 1.911028e-23
19.639279, 1.274216e+01, -3.236807e-03, 3.039768e+06, 6.000000e+02, 2.852239e-02, 9.578710e-22, 2.662136e-22, 2.263540e-01, 1.911020e-23
19.839679, 1.274239e+01, -1.338249e-02, 3.039825e+06, 6.000000e+02, 2.852239e-02, 9.578532e-22, 2.662087e-22, 2.263540e-01, 1.910984e-23
20.040080, 1.274329e+01, -5.159390e-02, 3.040039e+06, 6.000000e+02, 2.852239e-02, 9.577858e-22, 2.661902e-22, 2.263540e-01, 1.910851e-23
20.240481, 1.274643e+01, -1.849751e-01, 3.040788e+06, 6.000000e+02, 2.852239e-02, 9.575498e-22, 2.661252e-22, 2.263540e-01, 1.910383e-23
20.440882, 1.275660e+01, -6.146288e-01, 3.043213e+06, 6.000000e+02, 2.852239e-02, 9.567876e-22, 2.659153e-22, 2.263540e-01, 1.908870e-23
20.641283, 1.278677e+01, -1.883673e+00, 3.050410e+06, 6.000000e+02, 2.852239e-02, 9.545327e-22, 2.652934e-22, 2.263540e-01, 1.904471e-23
20.841683, 1.286814e+01, -5.282241e+00, 3.069823e+06, 6.000000e+02, 2.852239e-02, 9.486593e-22, 2.636716e-22, 2.263540e-01, 1.992860e-23
21.042084, 1.306424e+01, -1.336299e+01, 3.116604e+06, 6.000000e+02, 2.852239e-02, 9.873725e-22, 2.744416e-22, 2.263540e-01, 3.789551e-22
21.242485, 1.347452e+01, -2.980949e+01, 3.214480e+06, 6.000000e+02, 2.852237e-02, 6.551454e-21, 1.820426e-21, 2.263539e-01, 4.106386e-20
21.442886, 1.419030e+01, -5.705629e+01, 3.385223e+06, 6.000000e+02, 2.852166e-02, 2.100702e-19, 5.836415e-20, 2.263480e-01, 1.669868e-18
21.643287, 1.518749e+01, -9.216309e+01, 3.622868e+06, 6.000000e+02, 2.850910e-02, 3.130604e-18, 8.706051e-19, 2.262452e-01, 2.835834e-17
21.843687, 1.626776e+01, -1.267265e+02, 3.878260e+06, 6.000000e+02, 2.839817e-02, 2.232368e-17, 6.232044e-18, 2.253384e-01, 2.414543e-16
22.044088, 1.720186e+01, -1.531966e+02, 4.088249e+06, 6.000002e+02, 2.781681e-02, 8.759453e-17, 2.476307e-17, 2.206015e-01, 1.226062e-15
22.244489, 1.795236e+01, -1.709654e+02, 4.219591e+06, 6.000027e+02, 2.574223e-02, 2.242374e-16, 6.552796e-17, 2.037932e-01, 4.234955e-15
22.444890, 1.814027e+01, -1.997387e+02, 4.142208e+06, 6.000398e+02, 2.037982e-02, 5.803247e-16, 2.064476e-16, 1.607214e-01, 1.119476e-14
22.645291, 1.213113e+01, -4.099142e+02, 2.664608e+06, 6.099701e+02, 1.048157e-02, 6.746119e-15, 6.953306e-15, 8.200257e-02, 8.204439e-14
22.845691, 3.637817e+00, -7.931218e+02, 3.091994e+06, 2.496817e+03, 5.804339e-04, 1.562406e-05, 8.661152e-05, 3.418169e-03, 2.599795e-03
